Kemiönsaari Vänö;100945;114;2743;59.87;22.19;10;Sääasemat;1990
Kirkkonummi Mäkiluoto;100997;331;2794;59.92;24.35;2;Sääasemat;1989
Kittilä Kenttärova;101987;8312;2824;67.99;24.24;347;Sääasemat;2002
Kittilä kk;101990;8315;2860;67.65;24.9;181;Sääasemat;2009
Kittilä lentoasema;101986;8311;2720;67.69;24.85;193;Sääasemat;1999
Kittilä Lompolonvuoma;778135;8303;2764;68;24.21;270;Sääasemat;2013
Kittilä Matorova;101985;8310;2882;68;24.24;340;Sääasemat;1995
Kittilä Pokka;101994;8404;2717;68.17;25.78;275;Sääasemat;1971
Kokemäki Tulkkila;101103;1140;2937;61.25;22.35;38;Sääasemat;2010
Kokkola Hollihaka;101675;4214;2852;63.84;23.12;6;Sääasemat;2007
Kokkola Tankar;101661;4109;2721;63.95;22.84;5;Sääasemat;1996
Korsnäs Bredskäret;101479;3018;2780;62.93;21.19;1;Sääasemat;1991
Kotka Haapasaari;101042;601;2967;60.29;27.19;4;Sääasemat;1997
Kotka Rankki;101030;501;2976;60.38;26.96;11;Sääasemat;1933
Kouvola Anjala;101194;1504;2830;60.7;26.81;33;Sääasemat;1941
Kouvola Utti lentoasema;101191;1501;2966;60.9;26.95;102;Sääasemat;1944
Kouvola Utti Lentoportintie;101219;1529;2956;60.89;26.93;99;Sääasemat;2008
Kristiinankaupunki Majakka;101268;2014;2752;62.2;21.17;0;Sääasemat;1997
Kruunupyy Kokkola-Pietarsaari lentoasema;101662;4201;2903;63.72;23.14;26;Sääasemat;1960
Kuhmo Kalliojoki;101773;4901;2799;64.3;30.17;197;Sääasemat;1997
Kumlinge kirkonkylä;100928;23;2790;60.26;20.75;23;Sääasemat;2000
Kuopio Maaninka;101572;3603;2788;63.14;27.31;90;Sääasemat;1930
Kuopio Ritoniemi;101580;3611;2732;62.8;27.9;86;Sääasemat;1980
Kuopio Savilahti;101586;3617;2955;62.89;27.63;87;Sääasemat;2005
Kustavi Isokari;101059;1016;2964;60.72;21.03;5;Sääasemat;1974
Kuusamo Kiutaköngäs;101887;6802;2811;66.37;29.31;165;Sääasemat;1966
Kuusamo lentoasema;101886;6801;2869;65.99;29.23;264;Sääasemat;1909
Kuusamo Oulanka;101899;6814;2749;66.32;29.4;298;Sääasemat;1989
Kuusamo Ruka Talvijärvi;806428;6817;2760;66.17;29.14;305;Sääasemat;2013
Kuusamo Rukatunturi;101897;6812;2868;66.17;29.15;500;Sääasemat;1990
